date,NASDAQ,S&P 500,ETF,Clean Energy,Renewable Energy,Clean Tech Stocks
2014-12-07,6.0,5.0,0.0,21.0,19.0,46.0,17.0
2014-12-08,16.0,11.0,0.0,41.0,42.0,69.0,39.0
2014-12-09,17.0,12.0,0.0,39.0,53.0,78.0,42.0
2014-12-10,17.0,12.0,0.0,43.0,51.0,80.0,49.0
2014-12-11,17.0,13.0,0.0,43.0,48.0,68.0,51.0
2014-12-12,17.0,12.0,0.0,42.0,38.0,65.0,58.0
2014-12-13,7.0,7.0,0.0,23.0,17.0,30.0,36.0
2014-12-14,5.0,5.0,0.0,23.0,22.0,40.0,30.0
2014-12-15,17.0,13.0,0.0,43.0,42.0,67.0,63.0
2014-12-16,18.0,14.0,0.0,52.0,50.0,67.0,70.0
2014-12-17,18.0,14.0,0.0,48.0,42.0,63.0,59.0
2014-12-18,19.0,16.0,0.0,45.0,41.0,60.0,54.0
2014-12-19,19.0,14.0,0.0,41.0,34.0,42.0,47.0
2014-12-20,7.0,6.0,0.0,24.0,15.0,23.0,29.0
2014-12-21,5.0,5.0,0.0,24.0,17.0,24.0,26.0
2014-12-22,17.0,11.0,0.0,42.0,25.0,35.0,45.0
2014-12-23,19.0,14.0,0.0,45.0,32.0,35.0,42.0
2014-12-24,15.0,11.0,0.0,36.0,26.0,28.0,32.0
2014-12-25,7.0,6.0,0.0,26.0,11.0,25.0,21.0
2014-12-26,13.0,10.0,0.0,31.0,21.0,26.0,27.0
2014-12-27,8.0,7.0,0.0,24.0,14.0,21.0,25.0
2014-12-28,6.0,5.0,0.0,25.0,19.0,25.0,19.0
2014-12-29,14.0,12.0,0.0,42.0,30.0,39.0,38.0
2014-12-30,16.0,12.0,0.0,42.0,28.0,40.0,39.0
2014-12-31,14.0,13.0,0.0,39.0,24.0,36.0,39.0
2015-01-01,8.0,9.0,0.0,26.0,16.0,27.0,26.0
2015-01-02,13.0,13.0,0.0,40.0,26.0,33.0,34.0
2015-01-03,6.0,7.0,0.0,27.0,21.0,28.0,26.0
2015-01-04,6.0,7.0,0.0,26.0,25.0,29.0,21.0
2015-01-05,17.0,15.0,0.0,49.0,40.0,60.0,61.0
2015-01-06,20.0,16.0,0.0,58.0,51.0,66.0,86.0
2015-01-07,18.0,15.0,0.0,49.0,44.0,64.0,72.0
2015-01-08,19.0,15.0,0.0,49.0,53.0,69.0,53.0
2015-01-09,18.0,14.0,0.0,43.0,34.0,62.0,44.0
2015-01-10,8.0,6.0,0.0,27.0,23.0,33.0,30.0
2015-01-11,6.0,6.0,0.0,27.0,29.0,43.0,27.0
2015-01-12,17.0,13.0,0.0,45.0,47.0,72.0,52.0
2015-01-13,17.0,13.0,0.0,49.0,47.0,70.0,65.0
2015-01-14,19.0,14.0,0.0,51.0,47.0,67.0,72.0
2015-01-15,17.0,14.0,0.0,48.0,47.0,67.0,63.0
2015-01-16,17.0,14.0,0.0,46.0,35.0,57.0,57.0
2015-01-17,7.0,7.0,0.0,29.0,22.0,37.0,39.0
2015-01-18,6.0,5.0,0.0,27.0,21.0,38.0,30.0
2015-01-19,14.0,8.0,0.0,39.0,33.0,63.0,50.0
2015-01-20,16.0,13.0,0.0,47.0,44.0,72.0,55.0
2015-01-21,17.0,12.0,0.0,46.0,54.0,75.0,45.0
2015-01-22,18.0,13.0,0.0,52.0,47.0,75.0,46.0
2015-01-23,19.0,13.0,0.0,50.0,42.0,61.0,57.0
2015-01-24,8.0,6.0,0.0,29.0,17.0,37.0,32.0
2015-01-25,5.0,6.0,0.0,29.0,29.0,40.0,26.0
2015-01-26,17.0,11.0,0.0,47.0,39.0,67.0,44.0
2015-01-27,21.0,12.0,0.0,49.0,42.0,74.0,42.0
2015-01-28,20.0,14.0,0.0,47.0,51.0,66.0,46.0
2015-01-29,20.0,14.0,0.0,47.0,45.0,70.0,49.0
