Date,NAV
06-05-2016,8.75
09-05-2016,8.66
10-05-2016,8.72
11-05-2016,8.81
12-05-2016,8.73
13-05-2016,8.63
16-05-2016,8.65
17-05-2016,8.68
18-05-2016,8.54
19-05-2016,8.40
20-05-2016,8.55
23-05-2016,8.58
24-05-2016,8.64
25-05-2016,8.69
26-05-2016,8.67
27-05-2016,8.66
31-05-2016,8.71
01-06-2016,8.85
02-06-2016,8.86
03-06-2016,8.91
06-06-2016,9.03
07-06-2016,9.08
08-06-2016,9.07
09-06-2016,8.99
10-06-2016,8.66
13-06-2016,8.48
14-06-2016,8.34
15-06-2016,8.39
16-06-2016,8.33
17-06-2016,8.52
20-06-2016,8.71
21-06-2016,8.53
22-06-2016,8.60
23-06-2016,8.72
24-06-2016,8.33
27-06-2016,8.16
28-06-2016,8.37
29-06-2016,8.61
30-06-2016,8.74
01-07-2016,8.78
05-07-2016,8.68
06-07-2016,8.69
07-07-2016,8.69
08-07-2016,8.82
11-07-2016,9.02
12-07-2016,9.03
13-07-2016,8.96
14-07-2016,9.02
15-07-2016,8.95
18-07-2016,9.04
19-07-2016,8.99
20-07-2016,9.09
21-07-2016,9.11
22-07-2016,9.10
25-07-2016,9.11
26-07-2016,9.20
27-07-2016,9.16
28-07-2016,9.06
29-07-2016,9.07
01-08-2016,9.15
02-08-2016,9.08
03-08-2016,9.12
04-08-2016,9.20
05-08-2016,9.20
08-08-2016,9.26
09-08-2016,9.28
10-08-2016,9.15
11-08-2016,9.17
12-08-2016,9.16
15-08-2016,9.22
16-08-2016,9.21
17-08-2016,9.22
18-08-2016,9.37
19-08-2016,9.35
22-08-2016,9.32
23-08-2016,9.34
24-08-2016,9.31
25-08-2016,9.28
26-08-2016,9.30
29-08-2016,9.25
30-08-2016,9.25
31-08-2016,9.20
01-09-2016,9.21
02-09-2016,9.28
06-09-2016,9.54
07-09-2016,9.57
08-09-2016,9.60
09-09-2016,9.43
12-09-2016,9.29
13-09-2016,9.14
14-09-2016,9.02
15-09-2016,9.06
16-09-2016,9.01
19-09-2016,9.14
20-09-2016,9.17
21-09-2016,9.24
22-09-2016,9.39
23-09-2016,9.32
26-09-2016,9.21
27-09-2016,9.25
28-09-2016,9.29
29-09-2016,9.31
30-09-2016,9.08
03-10-2016,9.13
04-10-2016,9.06
05-10-2016,9.16
06-10-2016,9.17
07-10-2016,9.03
10-10-2016,9.09
11-10-2016,8.95
12-10-2016,8.93
13-10-2016,8.95
14-10-2016,9.02
17-10-2016,9.00
18-10-2016,9.09
19-10-2016,9.13
20-10-2016,9.11
21-10-2016,9.05
24-10-2016,9.03
25-10-2016,8.95
26-10-2016,8.94
27-10-2016,8.89
28-10-2016,8.82
31-10-2016,8.83
01-11-2016,8.71
02-11-2016,8.56
03-11-2016,8.40
04-11-2016,8.39
07-11-2016,8.58
08-11-2016,8.59
09-11-2016,8.18
10-11-2016,8.02
11-11-2016,7.93
14-11-2016,7.86
15-11-2016,7.94
16-11-2016,7.93
17-11-2016,7.92
18-11-2016,7.90
21-11-2016,7.89
22-11-2016,7.96
23-11-2016,8.00
25-11-2016,8.06
28-11-2016,8.11
29-11-2016,8.03
30-11-2016,8.02
01-12-2016,7.96
02-12-2016,7.90
05-12-2016,7.96
06-12-2016,7.98
07-12-2016,8.11
08-12-2016,8.11
09-12-2016,8.08
12-12-2016,8.07
13-12-2016,8.13
14-12-2016,8.01
15-12-2016,7.89
16-12-2016,7.89
19-12-2016,7.97
20-12-2016,7.92
21-12-2016,7.89
22-12-2016,7.77
23-12-2016,7.76
27-12-2016,7.85
28-12-2016,7.84
29-12-2016,7.88
30-12-2016,7.92
03-01-2017,7.98
04-01-2017,8.08
05-01-2017,8.14
06-01-2017,8.14
09-01-2017,8.14
10-01-2017,8.17
11-01-2017,8.22
12-01-2017,8.26
13-01-2017,8.26
17-01-2017,8.32
18-01-2017,8.34
19-01-2017,8.27
